filename,category,probability
1597dcc14be8bd5860efbd2b-00063960.jpg,side_view,0.99873835
1e2251a894690ac79324b119-00033702.jpg,side_view,0.9995173
1e2251a894690ac79324b119-00019860.jpg,side_view,0.9939248
1e2251a894690ac79324b119-00062485.jpg,side_view,0.9981698
17bedfb59200fa17fe173cfa-00053843.jpg,side_view,0.999419
1e2251a894690ac79324b119-00086712.jpg,non_match,0.54182404
17bedfb59200fa17fe173cfa-00099728.jpg,side_view,0.9979843
1e2251a894690ac79324b119-00004686.jpg,side_view,0.9970804
1597dcc14be8bd5860efbd2b-00030017.jpg,closeup,0.99636626
1e2251a894690ac79324b119-00000421.jpg,closeup,0.9942497
17bedfb59200fa17fe173cfa-00046520.jpg,side_view,0.998825
1e2251a894690ac79324b119-00026992.jpg,side_view,0.99466914
1e2251a894690ac79324b119-00031271.jpg,side_view,0.99934787
1597dcc14be8bd5860efbd2b-00053021.jpg,side_view,0.9225352
17bedfb59200fa17fe173cfa-00074535.jpg,side_view,0.98014414
1e2251a894690ac79324b119-00020987.jpg,side_view,0.99591523
1e2251a894690ac79324b119-00096798.jpg,side_view,0.9989932
1597dcc14be8bd5860efbd2b-00086913.jpg,closeup,0.9999292
1322264d7449ca8e2aa7269a-00000671.jpg,non_match,0.9940149
1e2251a894690ac79324b119-00026906.jpg,side_view,0.99018997
1e2251a894690ac79324b119-00082210.jpg,closeup,0.96833235
1597dcc14be8bd5860efbd2b-00067685.jpg,side_view,0.988255
1e2251a894690ac79324b119-00079106.jpg,side_view,0.99974734
1322264d7449ca8e2aa7269a-00001054.jpg,closeup,0.9996561
17bedfb59200fa17fe173cfa-00063569.jpg,closeup,0.9951261
17bedfb59200fa17fe173cfa-00173245.jpg,non_match,0.6426692
1e2251a894690ac79324b119-00077218.jpg,closeup,0.9518922
1597dcc14be8bd5860efbd2b-00149014.jpg,closeup,0.98998904
1e2251a894690ac79324b119-00036585.jpg,side_view,0.99899703
17bedfb59200fa17fe173cfa-00116787.jpg,closeup,0.9495364
1322264d7449ca8e2aa7269a-00000909.jpg,side_view,0.98886526
1322264d7449ca8e2aa7269a-00001160.jpg,closeup,0.96098
1e2251a894690ac79324b119-00091951.jpg,side_view,0.9980421
1e2251a894690ac79324b119-00089135.jpg,side_view,0.9989524
17bedfb59200fa17fe173cfa-00159105.jpg,side_view,0.9516108
17bedfb59200fa17fe173cfa-00009279.jpg,front_view,0.82035697
1e2251a894690ac79324b119-00059130.jpg,front_view,0.999928
1597dcc14be8bd5860efbd2b-00020420.jpg,closeup,0.9857496
03f0445b7080dba483ca45a7-00002272.jpg,closeup,0.9872758
1e2251a894690ac79324b119-00046202.jpg,non_match,0.99454534
1e2251a894690ac79324b119-00032099.jpg,side_view,0.99608684
1597dcc14be8bd5860efbd2b-00047083.jpg,side_view,0.64574254
1597dcc14be8bd5860efbd2b-00085207.jpg,closeup,0.99655765
1597dcc14be8bd5860efbd2b-00134323.jpg,side_view,0.9962529
1597dcc14be8bd5860efbd2b-00036996.jpg,side_view,0.8053189
1322264d7449ca8e2aa7269a-00001661.jpg,side_view,0.60537624
1e2251a894690ac79324b119-00006692.jpg,side_view,0.9959812
1322264d7449ca8e2aa7269a-00001734.jpg,side_view,0.9997371
1322264d7449ca8e2aa7269a-00001452.jpg,closeup,0.9699415
1e2251a894690ac79324b119-00089202.jpg,side_view,0.9955189
1e2251a894690ac79324b119-00075875.jpg,side_view,0.9967535
1597dcc14be8bd5860efbd2b-00048605.jpg,side_view,0.99234736
1e2251a894690ac79324b119-00014389.jpg,closeup,0.9493508
1597dcc14be8bd5860efbd2b-00093917.jpg,side_view,0.96715105
1e2251a894690ac79324b119-00042183.jpg,side_view,0.9975013
17bedfb59200fa17fe173cfa-00125496.jpg,non_match,0.9828735
1e2251a894690ac79324b119-00085269.jpg,side_view,0.96006155
1e2251a894690ac79324b119-00069163.jpg,closeup,0.9981775
1597dcc14be8bd5860efbd2b-00152552.jpg,closeup,0.8391361
17bedfb59200fa17fe173cfa-00077345.jpg,side_view,0.9985266
1e2251a894690ac79324b119-00036722.jpg,side_view,0.99922884
1322264d7449ca8e2aa7269a-00001943.jpg,side_view,0.99907494
1597dcc14be8bd5860efbd2b-00115604.jpg,side_view,0.9906827
03f0445b7080dba483ca45a7-00002548.jpg,non_match,0.9901287
1322264d7449ca8e2aa7269a-00002668.jpg,non_match,0.8084707
1e2251a894690ac79324b119-00027531.jpg,side_view,0.9960134
1e2251a894690ac79324b119-00040101.jpg,closeup,0.9968874
1e2251a894690ac79324b119-00076476.jpg,side_view,0.99900997
1e2251a894690ac79324b119-00066518.jpg,side_view,0.9688525
17bedfb59200fa17fe173cfa-00155710.jpg,side_view,0.99735945
1322264d7449ca8e2aa7269a-00002298.jpg,side_view,0.99431676
1ebb2e43cfe21c0f92b12cfe-00052025.jpg,closeup,0.997735
1ebb2e43cfe21c0f92b12cfe-00017647.jpg,non_match,0.9056782
1ebb2e43cfe21c0f92b12cfe-00054673.jpg,closeup,0.9995066
1e2251a894690ac79324b119-00101889.jpg,non_match,0.9980458
255b60c3140b40de262ec5d9-00009619.jpg,side_view,0.9880981
1ebb2e43cfe21c0f92b12cfe-00045476.jpg,side_view,0.8058371
1e2251a894690ac79324b119-00132451.jpg,closeup,0.93732125
255b60c3140b40de262ec5d9-00013972.jpg,side_view,0.99912316
255b60c3140b40de262ec5d9-00016913.jpg,side_view,0.9915849
24c0291958fc93351d93ce19-00002114.jpg,front_view,0.41289306
1ebb2e43cfe21c0f92b12cfe-00077067.jpg,side_view,0.4394162
24c0291958fc93351d93ce19-00002404.jpg,side_view,0.9978715
1ebb2e43cfe21c0f92b12cfe-00063022.jpg,side_view,0.461938
1e2251a894690ac79324b119-00145486.jpg,side_view,0.97431993
24c0291958fc93351d93ce19-00001051.jpg,closeup,0.96537524
24c0291958fc93351d93ce19-00001559.jpg,front_view,0.999938
1ebb2e43cfe21c0f92b12cfe-00027721.jpg,closeup,0.775194
255b60c3140b40de262ec5d9-00004169.jpg,non_match,0.9989656
1ebb2e43cfe21c0f92b12cfe-00019419.jpg,aerial_view,0.4435268
1e2251a894690ac79324b119-00137364.jpg,side_view,0.9002651
1ebb2e43cfe21c0f92b12cfe-00024585.jpg,closeup,0.9966678
1e2251a894690ac79324b119-00131007.jpg,side_gate_view,0.9941603
1ebb2e43cfe21c0f92b12cfe-00072138.jpg,side_view,0.34782815
1ebb2e43cfe21c0f92b12cfe-00004380.jpg,non_match,0.9991503
1e2251a894690ac79324b119-00132373.jpg,non_match,0.98865974
24c0291958fc93351d93ce19-00002290.jpg,side_view,0.99715877
1ebb2e43cfe21c0f92b12cfe-00054663.jpg,closeup,0.99944276
255b60c3140b40de262ec5d9-00010919.jpg,side_view,0.99754226
24c0291958fc93351d93ce19-00000028.jpg,non_match,0.9999455
255b60c3140b40de262ec5d9-00011608.jpg,side_view,0.98679847
1ebb2e43cfe21c0f92b12cfe-00025964.jpg,closeup,0.99946064
1e2251a894690ac79324b119-00142617.jpg,side_view,0.99280506
1ebb2e43cfe21c0f92b12cfe-00010747.jpg,closeup,0.9805104
1e2251a894690ac79324b119-00141656.jpg,closeup,0.9974752
1ebb2e43cfe21c0f92b12cfe-00069103.jpg,side_view,0.9823136
1ebb2e43cfe21c0f92b12cfe-00072608.jpg,closeup,0.91210544
255b60c3140b40de262ec5d9-00007384.jpg,side_view,0.4630356
24c0291958fc93351d93ce19-00001069.jpg,aerial_view,0.9529412
1ebb2e43cfe21c0f92b12cfe-00000635.jpg,non_match,0.99866235
24c0291958fc93351d93ce19-00000016.jpg,non_match,0.99997985
1ebb2e43cfe21c0f92b12cfe-00077553.jpg,side_view,0.8612563
255b60c3140b40de262ec5d9-00008683.jpg,side_view,0.9841352
1ebb2e43cfe21c0f92b12cfe-00080525.jpg,non_match,0.9822177
